Category,Feature,Description,Source,Context,Detection Method/Metric
Linguistic,Significance Inflation,Overuse of words like "testament", "pivotal", "underscores",Wikipedia / Pattern 1,General Text,Keyword Frequency
Linguistic,Superficial -ing Analysis,Weak participle phrases ("highlighting", "emphasizing") to fake depth,Wikipedia / Pattern 3,General Text,Syntactic Analysis
Linguistic,Promotional Language,Ad-speak like "nestled", "vibrant", "breathtaking",Wikipedia / Desaire,Marketing / Travel,Sentiment / Tone Analysis
Linguistic,N-gram Repetition,High frequency of repetitive 5-7 gram sequences,Terçon / Originality.ai,Academic / General,N-gram Analysis
Linguistic,Nominalization,High frequency of nouns/determiners; low adjectives/adverbs,Terçon et al.,Academic Attributes,POS Tagging
Linguistic,Function Words,Specific distribution of "although", "however" vs "others", "researchers",Desaire et al.,Scientific Writing,Lexical Frequency Analysis
Linguistic,Low Lexical Diversity,Limited vocabulary range (Type-Token Ratio),Terçon / André,General Text,TTR (Type-Token Ratio)
Stylistic,Sentence Length Consistency,Low variance in sentence length (low burstiness),Desaire / GPTZero,General Text,Standard Deviation of Length
Stylistic,Paragraph Structure,Uniform paragraph lengths and sentence counts,Desaire et al.,Scientific Writing,Structural Analysis
Stylistic,Formal/Impersonal Tone,Lack of personal voice; overly neutral sentiment,Terçon / Wiki,General Text,Sentiment Analysis
Stylistic,Refusal/Disclaimer Artifacts,"As an AI language model", "I cannot fulfill",GPTZero / Wiki,Chatbot Output,Keyword Matching
Stylistic,Em Dash Overuse,Mechanical use of em dashes for emphasis,Wikipedia / Pattern 13,General Text,Punctuation Analysis
Stylistic,Title Case Headings,Capitalizing Every Word In A Heading,Wikipedia / Pattern 16,General Text,Formatting Analysis
Statistical,Low Perplexity,Text is statistically predictable to an LLM,GPTZero / Originality,General Text,Perplexity Score (LLM)
Statistical,Uniform Burstiness,Lack of "spikes" in perplexity or sentence structure,GPTZero,General Text,Burstiness Score
Statistical,Entropy,Probability distribution of word choices,Originality.ai,General Text,Entropy Calculation
Code Quality,Cyclomatic Complexity,Measure of independent paths; AI can be high or low,SonarQube,Code Analysis,Static Analysis
Code Quality,Cognitive Complexity,Difficulty for humans to understand control flow,SonarQube,Code Analysis,Static Analysis
Code Quality,Code Churn/Duplication,High rate of copy-pasted or reverted code (DRY violations),GitClear / GitHub,Software Dev,Version Control Metrics
Code Quality,Readability,readability improvements (variable naming, formatting),GitHub Research,Software Dev,Linter/Human Review
Code Quality,Test Coverage,Pass rate of unit tests (often higher for AI code),GitHub Research,Software Dev,CI/CD Metrics
Code Quality,Maintainability,Modularity and comments (can be improved or degraded),SonarQube / GitHub,Software Dev,Static Analysis
Governance,Trustworthiness,Valid, Reliable, Safe, Secure, Accountable, Explainable,NIST AI RMF,AI Systems,Qualitative Assessment
Governance,Data Quality,Accuracy, precision, consistency of training data,ISO 25058/5259,AI Data,Data Audit
